date,total_demand,forecast_ma_3,forecast_hw,forecast_arima
2025-03-31,2718187,,601806.7291214501,0.0
2025-04-30,259651,,730964.5152400901,1439706.103407397
2025-05-31,302855,1093564.3333333333,860122.2627990878,1280195.6235831203
2025-06-30,396639,319715.0,989280.0090772748,470822.11056035786
2025-07-31,677829,459107.6666666667,1118437.754828352,379854.4200115538
2025-08-31,0,358156.0,1247595.5028448864,530534.5549956426
2025-09-30,1459431,712420.0,1376753.2388363811,320077.95433954825
2025-10-31,976794,812075.0,1505910.9946504922,770820.0149077547
2025-11-30,1818551,1418258.6666666667,1635068.741348151,1095928.0469123533
2025-12-31,3220242,2005195.6666666667,1764226.498664366,1409179.3510633619
