district,date,total_demand,growth_rate
ANUGUL,2025-08-31,4,1.0
ANUGUL,2025-09-30,6,0.5
Adilabad,2025-03-31,673,0.7851458885941645
Adilabad,2025-04-30,982,0.45913818722139665
Adilabad,2025-08-31,555,1.4342105263157894
Adilabad,2025-10-31,578,0.5454545454545454
Agar Malwa,2025-03-31,60,0.7647058823529411
Agar Malwa,2025-05-31,79,0.7954545454545454
Agar Malwa,2025-07-31,62,1.8181818181818183
Agar Malwa,2025-08-31,105,0.6935483870967742
Agar Malwa,2025-10-31,32,0.33333333333333326
Agar Malwa,2025-11-30,66,1.0625
Agar Malwa,2025-12-31,87,0.3181818181818181
Agra,2025-04-30,1284,0.6806282722513088
Agra,2025-08-31,1957,0.9223968565815324
Agra,2025-10-31,2048,0.8220640569395017
Agra,2025-12-31,1859,1.6
Ahilyanagar,2025-08-31,10,9.0
Ahilyanagar,2025-11-30,18,0.8
Ahilyanagar,2025-12-31,38,1.1111111111111112
Ahmadabad,2025-03-31,64,1.1333333333333333
Ahmadabad,2025-04-30,87,0.359375
Ahmadabad,2025-06-30,52,0.6774193548387097
Ahmadabad,2025-08-31,128,1.4615384615384617
Ahmadabad,2025-12-31,96,3.0
Ahmadnagar,2025-04-30,2426,3.656429942418426
Ahmadnagar,2025-06-30,1488,0.915057915057915
Ahmadnagar,2025-07-31,3490,1.3454301075268815
Ahmadnagar,2025-10-31,1836,4.3841642228739
Ahmed Nagar,2025-04-30,37,2.3636363636363638
Ahmed Nagar,2025-07-31,74,0.8048780487804879
Ahmed Nagar,2025-10-31,30,14.0
Ahmed Nagar,2025-12-31,34,1.4285714285714284
Ahmedabad,2025-03-31,1570,0.7522321428571428
Ahmedabad,2025-06-30,1017,0.48034934497816595
Ahmedabad,2025-08-31,1332,12.058823529411764
Ahmedabad,2025-10-31,1729,0.3787878787878789
Ahmedabad,2025-12-31,1755,4.36697247706422
Aizawl,2025-03-31,107,0.42666666666666675
Aizawl,2025-04-30,161,0.5046728971962617
Aizawl,2025-08-31,147,72.5
Aizawl,2025-10-31,68,0.3877551020408163
Aizawl,2025-11-30,126,0.8529411764705883
Ajmer,2025-03-31,758,0.9435897435897436
Ajmer,2025-06-30,821,1.3061797752808988
Ajmer,2025-08-31,715,10.0
Ajmer,2025-10-31,558,0.5121951219512195
Akola,2025-03-31,253,1.0909090909090908
Akola,2025-04-30,653,1.58102766798419
Akola,2025-06-30,282,8.096774193548388
Akola,2025-10-31,309,4.722222222222222
Akola,2025-11-30,606,0.9611650485436893
Alappuzha,2025-03-31,405,1.3684210526315788
Alappuzha,2025-06-30,304,0.7572254335260116
Alappuzha,2025-08-31,482,2.9186991869918697
Alappuzha,2025-10-31,267,0.5433526011560694
Alappuzha,2025-12-31,417,0.8699551569506727
Aligarh,2025-03-31,948,0.8884462151394423
Aligarh,2025-04-30,1907,1.011603375527426
Aligarh,2025-08-31,1111,1.6018735362997658
Aligarh,2025-11-30,2712,1.1644054269752595
Alipurduar,2025-04-30,155,1.540983606557377
Alipurduar,2025-06-30,132,3.7142857142857144
Alipurduar,2025-08-31,93,0.4761904761904763
Alipurduar,2025-11-30,145,0.34259259259259256
Alirajpur,2025-04-30,186,1.8181818181818183
Alirajpur,2025-06-30,194,1.108695652173913
Alirajpur,2025-11-30,156,0.47169811320754707
Alirajpur,2025-12-31,227,0.45512820512820507
Allahabad,2025-03-31,1141,0.5315436241610738
Allahabad,2025-04-30,2104,0.8439964943032428
Allahabad,2025-08-31,1775,0.8703898840885143
Allahabad,2025-10-31,1726,1.1683417085427137
Alluri Sitharama Raju,2025-03-31,79,1.46875
Alluri Sitharama Raju,2025-05-31,54,0.3170731707317074
Almora,2025-04-30,129,1.263157894736842
Almora,2025-06-30,143,4.72
Almora,2025-08-31,186,2.509433962264151
Almora,2025-10-31,193,7.772727272727273
Alwar,2025-04-30,1083,0.5515759312320916
Alwar,2025-06-30,849,0.7186234817813766
Alwar,2025-08-31,742,5.684684684684685
Alwar,2025-12-31,1330,1.2203672787979967
Ambala,2025-04-30,50,0.5625
Ambala,2025-05-31,75,0.5
Ambala,2025-06-30,313,3.173333333333333
Ambala,2025-08-31,425,29.357142857142858
Ambala,2025-11-30,210,0.4482758620689655
Ambala,2025-12-31,314,0.49523809523809526
Ambedkar Nagar,2025-03-31,417,0.36721311475409846
Ambedkar Nagar,2025-04-30,982,1.354916067146283
Ambedkar Nagar,2025-06-30,588,0.8785942492012779
Ambedkar Nagar,2025-08-31,1202,0.8129713423831071
Ambedkar Nagar,2025-10-31,667,0.7415143603133159
Ambedkar Nagar,2025-12-31,917,7.261261261261261
Amethi,2025-04-30,1010,1.7520435967302452
Amethi,2025-06-30,507,0.667763157894737
Amethi,2025-08-31,1103,4.46039603960396
Amethi,2025-12-31,738,0.3794392523364487
Amravati,2025-04-30,726,0.9105263157894736
Amravati,2025-06-30,522,0.2578313253012048
Amravati,2025-07-31,723,0.38505747126436773
Amravati,2025-10-31,493,2.1202531645569622
Amravati,2025-11-30,1021,1.0709939148073024
Amreli,2025-06-30,106,0.35897435897435903
Amreli,2025-08-31,266,32.25
Amreli,2025-12-31,291,0.9144736842105263
Amritsar,2025-03-31,266,2.325
Amritsar,2025-04-30,1007,2.7857142857142856
