district,date,total_demand,growth_rate
ANUGUL,2025-11-30,9,0.8
ANUGUL,2025-12-31,13,0.4444444444444444
Adilabad,2025-09-30,2571,0.7406905890318212
Adilabad,2025-12-31,4612,0.7279880104908205
Agar Malwa,2025-11-30,315,2.088235294117647
Agar Malwa,2025-12-31,793,1.5174603174603174
Agra,2025-09-30,5405,1.8151041666666665
Agra,2025-11-30,7644,1.2568644818423382
Agra,2025-12-31,15189,0.9870486656200943
Ahmadabad,2025-11-30,403,1.3160919540229883
Ahmadabad,2025-12-31,1012,1.5111662531017371
Ahmadnagar,2025-10-31,7517,2.413714804722979
Ahmadnagar,2025-11-30,25949,2.452042038047093
Ahmed Nagar,2025-10-31,182,2.4339622641509435
Ahmed Nagar,2025-11-30,613,2.368131868131868
Ahmedabad,2025-07-31,4239,0.8382480485689505
Ahmedabad,2025-09-30,7138,0.6838877093654163
Ahmedabad,2025-11-30,7525,2.023302531137003
Ahmedabad,2025-12-31,19007,1.525847176079734
Aizawl,2025-12-31,640,1.0253164556962027
Ajmer,2025-05-31,4244,11.519174041297935
Ajmer,2025-07-31,5637,0.26845184518451837
Ajmer,2025-11-30,2472,1.07905803195963
Ajmer,2025-12-31,5925,1.3968446601941746
Akola,2025-10-31,1469,0.8713375796178344
Akola,2025-11-30,7399,4.036759700476515
Alappuzha,2025-09-30,1400,0.7721518987341771
Alappuzha,2025-11-30,2160,0.6095380029806259
Alappuzha,2025-12-31,3750,0.7361111111111112
Aligarh,2025-11-30,7526,1.6490672298486446
Aligarh,2025-12-31,10045,0.3347063513154398
Alipurduar,2025-12-31,768,1.292537313432836
Alirajpur,2025-11-30,930,1.6495726495726495
Alirajpur,2025-12-31,1370,0.4731182795698925
Allahabad,2025-11-30,6957,0.8183481442760063
Allahabad,2025-12-31,13712,0.970964496190887
Alluri Sitharama Raju,2025-11-30,422,0.3927392739273927
Alluri Sitharama Raju,2025-12-31,894,1.1184834123222749
Almora,2025-11-30,559,0.5149051490514904
Almora,2025-12-31,1521,1.7209302325581395
Alwar,2025-11-30,3085,0.2550854353132628
Alwar,2025-12-31,8585,1.7828200972447328
