district,date,total_demand,growth_rate
ANGUL,2025-10-31,2,1.0
ANUGUL,2025-11-30,10,0.4285714285714286
ANUGUL,2025-12-31,13,0.30000000000000004
Adilabad,2025-09-30,2933,0.985781990521327
Adilabad,2025-10-31,4570,0.5581316058643027
Agar Malwa,2025-12-31,402,0.5285171102661597
Agra,2025-09-30,5220,1.71875
Agra,2025-10-31,7400,0.4176245210727969
Agra,2025-12-31,8982,0.29703971119133565
Ahmadnagar,2025-10-31,11187,2.2435488547405047
Ahmadnagar,2025-11-30,23617,1.1111111111111112
Ahmed Nagar,2025-10-31,308,1.8785046728971961
Ahmed Nagar,2025-11-30,806,1.616883116883117
Ahmedabad,2025-09-30,6336,1.4303797468354431
Ahmedabad,2025-12-31,10711,0.27118442914787555
Aizawl,2025-10-31,671,0.5460829493087558
Ajmer,2025-05-31,4244,11.519174041297935
Ajmer,2025-10-31,2606,0.29845540607872456
Akola,2025-10-31,2795,1.8375634517766497
Akola,2025-11-30,5736,1.0522361359570662
Alappuzha,2025-09-30,1269,1.4310344827586206
Alappuzha,2025-10-31,2655,1.0921985815602837
Alappuzha,2025-12-31,2216,0.28762347472399763
Aligarh,2025-11-30,7885,0.532555879494655
Alipurduar,2025-09-30,668,3.9850746268656714
Alirajpur,2025-12-31,1143,0.521970705725699
Alluri Sitharama Raju,2025-10-31,464,0.6338028169014085
Almora,2025-11-30,746,0.28620689655172415
Ambala,2025-05-31,1433,1.2080123266563945
Ambala,2025-10-31,1127,0.8846153846153846
Amravati,2025-10-31,4166,1.5526960784313726
Amravati,2025-11-30,7974,0.914066250600096
Anakapalli,2025-09-30,371,0.33453237410071934
Anakapalli,2025-10-31,552,0.4878706199460916
Anakapalli,2025-12-31,814,0.9853658536585366
Anantapur,2025-10-31,3659,1.2028898254063818
Ananthapur,2025-10-31,1718,2.0299823633156966
Ananthapuramu,2025-05-31,2926,4.142355008787346
Ananthapuramu,2025-07-31,2159,1.8863636363636362
Ananthapuramu,2025-10-31,1622,1.4281437125748502
Ananthapuramu,2025-12-31,1862,0.7599243856332702
Anantnag,2025-10-31,1466,2.2723214285714284
Andamans,2025-10-31,23,0.4375
Andamans,2025-11-30,51,1.2173913043478262
Andamans,2025-12-31,67,0.3137254901960784
Angul,2025-10-31,1599,0.2905569007263922
Anjaw,2025-11-30,30,0.30434782608695654
Annamayya,2025-06-30,1847,2.352087114337568
Annamayya,2025-10-31,818,0.8506787330316743
Annamayya,2025-12-31,939,0.514516129032258
Anugul,2025-12-31,125,0.8656716417910448
Anuppur,2025-09-30,818,3.1105527638190953
Anuppur,2025-11-30,637,0.33823529411764697
Anuppur,2025-12-31,904,0.4191522762951334
Araria,2025-09-30,9335,0.9627838519764509
Arvalli,2025-11-30,402,0.33554817275747517
Arwal,2025-09-30,1665,0.3840399002493766
Ashok Nagar,2025-04-30,2682,1.17165991902834
Ashok Nagar,2025-12-31,1026,0.822380106571936
Aurangabad,2025-09-30,7223,1.7001869158878504
Aurangabad,2025-10-31,15477,1.1427384743181506
Ayodhya,2025-12-31,802,0.47426470588235303
Azamgarh,2025-12-31,7299,0.36023108460678355
Badgam,2025-10-31,544,0.5238095238095237
Badgam,2025-12-31,725,0.25432525951557095
Bagalkot,2025-09-30,1175,1.845036319612591
Bagalkot,2025-10-31,2299,0.9565957446808511
Bagalkot *,2025-10-31,118,1.744186046511628
Bageshwar,2025-11-30,287,0.5683060109289617
Baghpat,2025-11-30,2528,0.2589641434262948
Bahraich,2025-12-31,7757,0.58144750254842
Bajali,2025-12-31,86,2.5833333333333335
Baksa,2025-10-31,743,0.34845735027223235
Baksa,2025-12-31,953,0.46615384615384614
Balaghat,2025-05-31,2740,1.67578125
Balaghat,2025-09-30,1108,0.7151702786377709
Balaghat,2025-12-31,1818,0.48894348894348894
Balangir,2025-10-31,2336,0.3822485207100592
Baleshwar,2025-10-31,929,0.35029069767441867
Baleswar,2025-10-31,2010,0.41549295774647876
Ballari,2025-05-31,496,2.263157894736842
Ballari,2025-10-31,783,1.076923076923077
Ballari,2025-12-31,738,0.7242990654205608
Ballia,2025-09-30,5568,0.26144086995922056
Balod,2025-06-30,4136,5.21021021021021
Balod,2025-10-31,1859,0.6292725679228748
Baloda Bazar,2025-10-31,5052,0.3242463958060289
Baloda Bazar,2025-12-31,4998,0.43045220377790505
Balotra,2025-12-31,86,2.739130434782609
Balrampur,2025-09-30,5868,1.4177997527812112
Balrampur,2025-12-31,6100,0.6023115313895455
Banas Kantha,2025-10-31,25,1.272727272727273
Banas Kantha,2025-12-31,35,0.5217391304347827
Banaskantha,2025-12-31,3890,0.51953125
Bandipore,2025-10-31,621,2.61046511627907
Bangalore,2025-10-31,3530,1.1175764847030596
Bangalore Rural,2025-04-30,1306,0.6573604060913705
Bangalore Rural,2025-06-30,2508,0.9203675344563553
Bangalore Rural,2025-10-31,1542,0.6369426751592357
Banka,2025-10-31,5198,0.6527821939586644
Bankura,2025-09-30,8084,8.728038507821902
Bankura,2025-11-30,9956,0.31536530585282074
Banswara,2025-10-31,2889,0.3374999999999999
Bapatla,2025-10-31,401,0.28938906752411575
Bapatla,2025-12-31,617,0.531017369727047
Barabanki,2025-11-30,379,0.46899224806201545
Baramula,2025-09-30,569,0.7670807453416149
Baramula,2025-10-31,1279,1.2478031634446398
Baran,2025-11-30,1760,0.3793103448275863
Barddhaman,2025-09-30,10746,2.168976703037452
Barddhaman,2025-11-30,11510,0.4477987421383647
Bardez,2025-10-31,3,2.0
Bardez,2025-11-30,4,0.33333333333333326
Bardhaman,2025-11-30,1734,0.4006462035541196
Bareilly,2025-07-31,7227,0.9991701244813278
Bargarh,2025-10-31,2147,0.46853625170998625
Bargarh,2025-12-31,1704,0.291887793783169
Barmer,2025-09-30,2368,0.8543461237274863
Barmer,2025-12-31,2619,0.25311004784688995
Barnala,2025-10-31,802,0.7359307359307359
Barpeta,2025-07-31,2001,1.4522058823529411
Barpeta,2025-10-31,2395,0.2732589048378522
Barpeta,2025-12-31,2784,0.6186046511627907
Barwani,2025-12-31,2039,1.1328451882845187
Bastar,2025-07-31,2696,0.47888096544157976
Bastar,2025-10-31,3512,0.6628787878787878
Bastar,2025-12-31,3308,0.3452623017486782
Bathinda,2025-09-30,1472,0.25383304940374796
Bathinda,2025-10-31,2027,0.377038043478261
Baudh,2025-10-31,101,0.46376811594202905
Baudh,2025-12-31,61,0.45238095238095233
Beawar,2025-12-31,64,3.2666666666666666
Beed,2025-10-31,11392,4.842051282051282
Belagavi,2025-06-30,533,2.8345323741007196
Belagavi,2025-09-30,1322,1.480300187617261
Belagavi,2025-10-31,2256,0.7065052950075643
Belgaum,2025-10-31,3306,1.0636704119850187
Bellary,2025-10-31,1610,0.6116116116116117
Bemetara,2025-10-31,2000,0.4440433212996391
Bemetara,2025-12-31,2111,0.36193548387096763
Bengaluru,2025-09-30,5403,0.7060309441111461
