date,total_demand,forecast_ma_3,forecast_hw,forecast_arima
2025-03-31,2466585,,608527.4864292884,0.0
2025-04-30,259651,,722176.8171472027,1597743.1196236054
2025-05-31,302855,1009697.0,835826.1132857306,732821.2799577703
2025-06-30,353686,305397.3333333333,949475.4083745418,534182.2081660826
2025-07-31,320015,325518.6666666667,1063124.7025272876,454791.979393095
2025-08-31,0,224567.0,1176773.99448479,388850.0120293914
2025-09-30,1602660,640891.6666666666,1290423.2799801906,177447.96776420574
2025-10-31,2031662,1211440.6666666667,1404072.58766358,993195.5015432811
2025-11-30,2031653,1888658.3333333333,1517721.9000460906,1516931.9769438908
2025-12-31,1830716,1964677.0,1631371.2107349604,1756193.467683597
