district,date,total_demand,growth_rate
Imphal West,2025-08-31,990,329.0
Mungeli,2025-10-31,291,290.0
Narmada,2025-08-31,132,131.0
Debagarh,2025-08-31,117,116.0
Imphal East,2025-10-31,1048,103.8
Burhanpur,2025-03-31,207,102.5
West Jaintia Hills,2025-11-30,102,101.0
Sheikhpura,2025-08-31,196,97.0
Narayanpur,2025-04-30,74,73.0
Rewari,2025-11-30,353,69.6
Shahdara,2025-05-31,281,69.25
Karaikal,2025-10-31,67,66.0
Sidhi,2025-04-30,62,61.0
Garhwa,2025-08-31,412,57.857142857142854
Garhwa *,2025-10-31,58,57.0
Bishnupur,2025-06-30,1093,56.526315789473685
Tamenglong,2025-10-31,330,54.0
Jamtara,2025-08-31,162,53.0
Churachandpur,2025-08-31,314,51.333333333333336
Wanaparthy,2025-08-31,255,50.0
Garhwa *,2025-08-31,51,50.0
Bastar,2025-08-31,918,44.9
Khairagarh Chhuikhadan Gandai,2025-05-31,44,43.0
Chitrakoot,2025-10-31,334,40.75
Chandel,2025-03-31,158,38.5
East Jaintia Hills,2025-02-28,39,38.0
Kamle,2025-03-31,38,37.0
Jayashankar Bhupalpally,2025-06-30,189,36.8
Rajanna Sircilla,2025-06-30,113,36.666666666666664
Hazaribag,2025-08-31,148,36.0
Imphal West,2025-10-31,985,35.48148148148148
Ukhrul,2025-11-30,824,34.82608695652174
Shupiyan,2025-10-31,35,34.0
Papum Pare,2025-08-31,68,33.0
West Siang,2025-08-31,33,32.0
S.A.S Nagar(Mohali),2025-04-30,32,31.0
Wokha,2025-03-31,30,29.0
West Khasi Hills,2025-11-30,30,29.0
Khowai,2025-10-31,29,28.0
Senapati,2025-08-31,434,27.933333333333334
Kulgam,2025-03-31,113,27.25
Sangli,2025-06-30,1870,25.338028169014084
Dantewada,2025-02-28,26,25.0
Sidhi,2025-07-31,207,24.875
Wardha,2025-10-31,334,24.692307692307693
Kishtwar,2025-08-31,51,24.5
Daman,2025-06-30,51,24.5
Palamau,2025-04-30,50,24.0
Palwal,2025-10-31,411,23.176470588235293
The Dangs,2025-10-31,24,23.0
Bemetara,2025-08-31,599,22.96
Kulgam,2025-08-31,47,22.5
Gumla,2025-08-31,469,22.45
Lower Subansiri,2025-06-30,22,21.0
Muzaffarnagar,2025-12-31,2277,20.89423076923077
Solan,2025-08-31,108,20.6
Ahmed Nagar,2025-06-30,160,19.0
Niwari,2025-06-30,38,18.0
Lohardaga,2025-06-30,333,17.5
Morbi,2025-05-31,160,16.77777777777778
Gondiya *,2025-04-30,34,16.0
Darrang,2025-08-31,283,15.647058823529413
South West Garo Hills,2025-08-31,83,15.600000000000001
Lunglei,2025-10-31,33,15.5
West Tripura,2025-08-31,338,15.095238095238095
Kiphire,2025-08-31,16,15.0
Jiribam,2025-06-30,78,14.6
Arwal,2025-08-31,310,14.5
Darjiling,2025-06-30,62,14.5
Dhalai,2025-08-31,167,14.181818181818182
Pakur,2025-08-31,392,14.076923076923077
Longding,2025-06-30,15,14.0
Dhaulpur,2025-03-31,15,14.0
Rohtak,2025-03-31,384,13.76923076923077
Simdega,2025-08-31,88,13.666666666666666
Dimapur,2025-05-31,29,13.5
Burhanpur,2025-06-30,29,13.5
Sakti,2025-05-31,130,13.444444444444445
Jalgaon,2025-06-30,3475,13.126016260162602
Parbhani,2025-10-31,1935,13.021739130434783
Chikmagalur,2025-10-31,14,13.0
Dohad,2025-10-31,28,13.0
Rangareddy,2025-10-31,14,13.0
Bishnupur,2025-11-30,515,12.91891891891892
Osmanabad,2025-10-31,1900,12.768115942028986
Sarangarh-Bilaigarh,2025-05-31,110,12.75
Washim,2025-10-31,1176,12.674418604651162
Lower Subansiri,2025-10-31,27,12.5
Hapur,2025-12-31,527,12.175
Dhaulpur,2025-06-30,13,12.0
Chikmagalur,2025-02-28,13,12.0
Chikmagalur,2025-08-31,13,12.0
South Dinajpur,2025-08-31,176,11.571428571428571
Gwalior,2025-06-30,864,11.521739130434783
Bhandara,2025-06-30,563,11.511111111111111
East Siang,2025-08-31,75,11.5
East Kameng,2025-11-30,49,11.25
Jhargram,2025-06-30,156,11.0
