date,total_demand,forecast_ma_3,forecast_hw,forecast_arima
2025-01-31,3721141,,1511500.7264579665,0.0
2025-02-28,343303,,1356439.634567047,2103782.1429094756
2025-03-31,313191,1459211.6666666667,1201378.4946530089,1128924.571686628
2025-04-30,357484,337992.6666666667,1046317.3566008582,935312.9030097901
2025-05-31,225186,298620.3333333333,891256.2215193156,832091.4725346535
2025-06-30,415662,332777.3333333333,736195.0867769702,718475.9986653315
2025-07-31,218836,286561.3333333333,581133.9571835293,701893.8458173391
2025-08-31,404176,346224.6666666667,426072.8269677432,617973.4210049792
2025-09-30,240037,287683.0,271011.7018243293,619210.2414197074
2025-10-31,326512,323575.0,115950.57654564455,560946.5494909142
2025-11-30,299556,288701.6666666667,-39110.54513387146,551503.7322288196
2025-12-31,437944,354670.6666666667,-194171.66490447242,527498.111498998
