district,date,total_demand,growth_rate
Panipat,2025-05-31,6310,37.47560975609756
Hooghly,2025-09-30,9711,19.883870967741935
North 24 Parganas,2025-09-30,13751,15.101873536299767
Rajnandgaon,2025-06-30,11871,13.015348288075561
Janjgir - Champa,2025-10-31,14,13.0
Kottayam,2025-09-30,1367,12.808080808080808
Ajmer,2025-05-31,4244,11.519174041297935
Una,2025-09-30,721,11.431034482758621
Hapur,2025-09-30,1643,10.10135135135135
Hanumakonda,2025-09-30,1097,9.754901960784315
Birbhum,2025-09-30,9924,9.273291925465838
HOWRAH,2025-11-30,10,9.0
Pakke Kessang,2025-10-31,10,9.0
Bankura,2025-09-30,8084,8.728038507821902
Didwana-Kuchaman,2025-12-31,146,8.125
Bengaluru Rural,2025-10-31,9,8.0
South 24 Parganas,2025-09-30,16579,7.809245483528162
Pakaur,2025-10-31,262,7.7333333333333325
Cuddapah,2025-09-30,1910,7.451327433628318
Yamuna Nagar,2025-04-30,1161,7.006896551724138
North Goa,2025-09-30,622,6.8734177215189876
Mahasamund,2025-06-30,13608,6.811710677382319
Paschim Medinipur,2025-09-30,9403,6.663406682966585
Chandigarh,2025-04-30,3841,6.516634050880627
Tamenglong,2025-10-31,1060,6.310344827586207
Palwal,2025-06-30,5038,6.186875891583452
Hingoli,2025-10-31,7045,6.137791286727457
Gadchiroli,2025-10-31,3910,6.122040072859745
Raigarh(MH),2025-10-31,99,6.071428571428571
Damoh,2025-06-30,1601,6.021929824561403
Rewari,2025-04-30,2357,5.912023460410557
Pune,2025-06-30,4652,5.761627906976744
West Delhi,2025-06-30,11792,5.734437464306111
Malda,2025-09-30,10132,5.727755644090306
Hassan,2025-05-31,1367,5.572115384615385
Sawai Madhopur,2025-09-30,910,5.546762589928058
Nanded,2025-10-31,16991,5.477697293175753
Balod,2025-06-30,4136,5.21021021021021
Udaipur,2025-09-30,2917,5.180084745762712
Parbhani,2025-10-31,10684,5.105142857142857
Shamator,2025-12-31,67,5.090909090909091
Imphal East,2025-10-31,3776,5.06099518459069
Lahul and Spiti,2025-10-31,18,5.0
Beed,2025-10-31,11392,4.842051282051282
Lahul & Spiti,2025-10-31,23,4.75
Jind,2025-06-30,2741,4.722338204592902
Gondiya *,2025-10-31,261,4.553191489361702
Firozabad,2025-09-30,3499,4.501572327044025
Pulwama,2025-06-30,434,4.493670886075949
Osmanabad,2025-10-31,6438,4.460559796437659
