district,date,total_demand,growth_rate
Samstipur,2025-08-31,7,inf
Bemetara,2025-08-31,377,376.0
Jashpur,2025-08-31,746,372.0
Marigaon,2025-08-31,646,322.0
Tarn Taran,2025-08-31,301,300.0
North Goa,2025-08-31,255,254.0
Baramula,2025-08-31,239,238.0
Rajnandgaon,2025-08-31,1098,218.6
Rupnagar,2025-08-31,195,194.0
Mahesana,2025-08-31,372,185.0
Doda,2025-08-31,166,165.0
Chhotaudepur,2025-08-31,156,155.0
Dhamtari,2025-08-31,609,151.25
Sabarkantha,2025-08-31,595,147.75
Sangli,2025-08-31,723,143.6
Balod,2025-08-31,844,119.57142857142857
Sepahijala,2025-08-31,349,115.33333333333333
Dadra and Nagar Haveli,2025-08-31,116,115.0
Kheda,2025-08-31,450,111.5
East Garo Hills,2025-08-31,110,109.0
Wardha,2025-08-31,322,106.33333333333333
Porbandar,2025-08-31,98,97.0
Sundargarh,2025-08-31,179,88.5
Banaskantha,2025-08-31,354,87.5
Gandhinagar,2025-08-31,352,87.0
Ramban,2025-04-30,88,87.0
Gajapati,2025-08-31,171,84.5
Hanumangarh,2025-08-31,510,84.0
Ganderbal,2025-08-31,84,83.0
Lawngtlai,2025-08-31,83,82.0
Karaikal,2025-08-31,80,79.0
Anand,2025-08-31,479,78.83333333333333
Ukhrul,2025-02-28,155,76.5
Narayanpur,2025-04-30,152,75.0
Churachandpur,2025-08-31,148,73.0
Bilaspur,2025-08-31,1328,72.77777777777777
Aizawl,2025-08-31,147,72.5
Tapi,2025-08-31,145,71.5
Kondagaon,2025-08-31,346,68.2
Pondicherry,2025-08-31,69,68.0
Anantnag,2025-08-31,276,68.0
Ganganagar,2025-08-31,413,67.83333333333333
Bandipore,2025-08-31,135,66.5
Uttar Bastar Kanker,2025-08-31,134,66.0
Panchmahals,2025-08-31,333,65.6
Mungeli,2025-08-31,1566,61.64
Karimganj,2025-08-31,611,60.1
Yavatmal,2025-08-31,772,58.38461538461539
Amritsar,2025-08-31,393,55.142857142857146
Devbhumi Dwarka,2025-08-31,56,55.0
Samba,2025-08-31,56,55.0
Kaithal,2025-08-31,325,53.166666666666664
Mamit,2025-08-31,54,53.0
Fatehabad,2025-08-31,269,52.8
Moga,2025-08-31,106,52.0
Lohardaga,2025-08-31,318,52.0
Kupwara,2025-08-31,259,50.8
Koriya,2025-08-31,152,49.666666666666664
Patiala,2025-08-31,607,49.583333333333336
Mandi,2025-08-31,197,48.25
East Jaintia Hills,2025-08-31,97,47.5
Botad,2025-04-30,97,47.5
Dimapur,2025-08-31,95,46.5
North East,2025-08-31,233,45.6
Pulwama,2025-08-31,93,45.5
Sri Muktsar Sahib,2025-08-31,231,45.2
Reasi,2025-08-31,91,44.5
Nayagarh,2025-08-31,135,44.0
Sindhudurg,2025-08-31,135,44.0
West Godavari,2025-08-31,687,41.9375
Ratlam,2025-08-31,426,41.6
Sangrur,2025-08-31,255,41.5
Satara,2025-08-31,803,41.26315789473684
Bathinda,2025-08-31,380,41.22222222222222
Solapur,2025-08-31,1036,40.44
Shimla,2025-08-31,205,40.0
Central Delhi,2025-08-31,524,39.30769230769231
Kandhamal,2025-08-31,241,39.166666666666664
Latehar,2025-08-31,399,38.9
Kendrapara,2025-08-31,436,38.63636363636363
Surendra Nagar,2025-08-31,237,38.5
Sribhumi,2025-08-31,79,38.5
Gir Somnath,2025-08-31,79,38.5
Rajkot,2025-08-31,1179,38.3
Sirsa,2025-08-31,314,38.25
Sheikhpura,2025-06-30,157,38.25
Kamle,2025-03-31,38,37.0
Kodarma,2025-10-31,38,37.0
Puducherry,2025-08-31,151,36.75
Sambalpur,2025-08-31,300,36.5
Lakhimpur,2025-08-31,300,36.5
